,codigo_establecimiento,codigo_ss,nombre_ss,nombre_establecimiento,nombre_comuna
0,126704.0,26.0,Servicio de Salud Magallanes,Hospital Comunitario Cristina Calderón de Puerto Williams,Cabo de Hornos
1,126204.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Hospital Naval (Puerto Williams) ,Cabo de Hornos
2,126412.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Cameron,Timaukel
3,126414.0,26.0,Servicio de Salud Magallanes,Posta de Salud Rural Agua Fresca,Punta Arenas
4,126102.0,26.0,Servicio de Salud Magallanes,Hospital Dr. Marco Antonio Chamorro ( Porvenir),Porvenir
5,201364.0,8.0,SEREMI Del Biobío, UNO SALUD DENTAL LOS ÁNGELES 2,Los Ángeles
6,200311.0,26.0,Servicio de Salud Magallanes,Centro Comunitario de Salud Familiar Dr. Juan Damianovic,Punta Arenas
7,200710.0,26.0,Servicio de Salud Magallanes,Complejo Miraflores (Salud Mental),Punta Arenas
8,126606.0,26.0,Servicio de Salud Magallanes,COSAM Punta Arenas,Punta Arenas
9,126801.0,26.0,Servicio de Salud Magallanes,SAR Dr. Juan Damianovic,Punta Arenas
10,126301.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Juan Damianovic,Punta Arenas
11,126203.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Salud Mutual CChC Punta Arenas,Punta Arenas
12,200473.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico de Agostini y Cia. Ltda.,Punta Arenas
13,126228.0,26.0,Servicio de Salud Magallanes,Laboratorio Clínico Corporación Municipal Punta Arenas,Punta Arenas
14,126030.0,26.0,Servicio de Salud Magallanes,Unidad de Salud Funcionario  S.S Magallanes,Punta Arenas
15,126010.0,26.0,Servicio de Salud Magallanes,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes),Punta Arenas
16,126011.0,26.0,Servicio de Salud Magallanes,PRAIS (S.S Magallanes),Punta Arenas
17,200171.0,26.0,Servicio de Salud Magallanes,SAPU 18 de Septiembre,Punta Arenas
18,126302.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar 18 Septiembre,Punta Arenas
19,126095.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Vacunatorio SEREMI de Salud Magallanes,Punta Arenas
20,126212.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica de Recuperación Hogar de Cristo Juan Pablo II,Punta Arenas
21,200700.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Diagnóstico  Clinica  Magallanes,Punta Arenas
22,126214.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Médico y Dental MegaSalud S.A Punta Arenas,Punta Arenas
23,200542.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Magallanes,Punta Arenas
24,200921.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Laboratorio Clínico Medi-Lab S.A,Punta Arenas
25,126211.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro Médico Medvital,Punta Arenas
26,126222.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Policlínico de la Fuerzas Armadas y de Orden,Punta Arenas
27,126225.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica Croacia,Punta Arenas
28,126213.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Instituto Médico Sarmiento,Punta Arenas
29,126304.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Carlos Ibáñez,Punta Arenas
30,201069.0,26.0,Servicio de Salud Magallanes,SAPU Carlos  Ibañez,Punta Arenas
31,200691.0,,No Aplica,Servicio Médico Legal Punta Arenas,Punta Arenas
32,126227.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Central Odontológica de Magallanes de 3era Zona Naval,Punta Arenas
33,126200.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Hospital FFAA Cirujano Guzmán,Punta Arenas
34,200709.0,26.0,Servicio de Salud Magallanes,Centro Diurno (pertenece a SENAMA),Punta Arenas
35,126303.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Thomas Fenton,Punta Arenas
36,126219.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Rehabilitación Club de Leones Cruz del Sur,Punta Arenas
37,126300.0,26.0,Servicio de Salud Magallanes,Centro de Salud Familiar Dr. Mateo Bencur,Punta Arenas
38,126800.0,26.0,Servicio de Salud Magallanes,SAPU Dr. Mateo Bencur,Punta Arenas
39,201245.0,13.0,SEREMI Metropolitana de Santiago,CEINSA,Puente Alto
40,126220.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Policlínico AChS (Punta Arenas),Punta Arenas
41,126201.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica Magallanes,Punta Arenas
42,126202.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas,Punta Arenas
43,200708.0,26.0,Servicio de Salud Magallanes,UMAG (pertenece a la Facultad de Ciencias de la Salud),Punta Arenas
44,200541.0,12.0,SEREMI De Magallanes y la Antártica Chilena,Clínica IMET,Punta Arenas
