,Ano,Mes,IdServicio,nombre_ss,IdEstablecimiento,nombre_establecimiento,IdRegion,IdComuna,nombre_comuna,CodigoPrestacion,Prestación,1° mes,3° mes,6° mes
0,2017,11,13,Servicio de Salud Metropolitano Sur,113303,Centro de Salud Familiar Amador Neghme,13,13121,Pedro Aguirre Cerda,A0200001,MENORES CONTROLADOS,11,12,7
1,2017,11,13,Servicio de Salud Metropolitano Sur,200337,Centro Comunitario de Salud Familiar Martín Henríquez,13,13129,San Joaquín,A0200002,LACTANCIA MATERNA EXCLUSIVA,0,0,1
2,2017,5,12,Servicio de Salud Metropolitano Oriente,112311,Centro de Salud Familiar Salvador Bustos,13,13120,Ñuñoa,A0200001,MENORES CONTROLADOS,9,7,7
3,2017,5,12,Servicio de Salud Metropolitano Oriente,112311,Centro de Salud Familiar Salvador Bustos,13,13120,Ñuñoa,A0200002,LACTANCIA MATERNA EXCLUSIVA,8,4,2
4,2017,5,10,Servicio de Salud Metropolitano Occidente,110316,Centro de Salud Familiar Pablo Neruda,13,13117,Lo Prado,A0200002,LACTANCIA MATERNA EXCLUSIVA,11,6,8
5,2017,1,9,Servicio de Salud Metropolitano Norte,109718,Centro Comunitario de Salud Familiar Los Libertadores,13,13107,Huechuraba,A0200001,MENORES CONTROLADOS,1,1,3
6,2017,10,9,Servicio de Salud Metropolitano Norte,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,13,13125,Quilicura,A0200001,MENORES CONTROLADOS,2,2,0
7,2017,8,9,Servicio de Salud Metropolitano Norte,109104,Hospital de Til Til,13,13303,Tiltil,A0200002,LACTANCIA MATERNA EXCLUSIVA,1,,2
8,2017,3,9,Servicio de Salud Metropolitano Norte,109412,Posta de Salud Rural Montenegro,13,13303,Tiltil,A0200001,MENORES CONTROLADOS,,,
9,2017,12,11,Servicio de Salud Metropolitano Central,111383,Centro de Salud Familiar Dr. Luis Ferrada,13,13119,Maipú,A0200002,LACTANCIA MATERNA EXCLUSIVA,6,3,5
10,2017,8,10,Servicio de Salud Metropolitano Occidente,110360,Centro de Salud Familiar Renca,13,13128,Renca,A0200002,LACTANCIA MATERNA EXCLUSIVA,18,23,8
11,2017,12,10,Servicio de Salud Metropolitano Occidente,110350,Centro de Salud Familiar Pudahuel Estrella,13,13124,Pudahuel,A0200001,MENORES CONTROLADOS,8,16,20
12,2017,12,10,Servicio de Salud Metropolitano Occidente,110350,Centro de Salud Familiar Pudahuel Estrella,13,13124,Pudahuel,A0200002,LACTANCIA MATERNA EXCLUSIVA,6,15,14
13,2017,4,11,Servicio de Salud Metropolitano Central,111310,Centro de Salud Familiar Las Mercedes,13,13106,Estación Central,A0200002,LACTANCIA MATERNA EXCLUSIVA,6,1,8
