,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
3257,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,1,9,2024,200609,09600289,13,13104,1.0,1.0,,,,,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
3261,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,1,9,2024,200609,04040421,13,13104,1.0,1.0,,,,,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
3263,Consulta de Lactancia por profesional  - Enfermera/o,1,9,2024,200609,04040425,13,13104,2.0,2.0,,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
17715,Consulta de Lactancia - Consulta Lactancia Materna de alerta,3,14,2024,114331,04040420,13,13110,5.0,4.0,0.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
18297,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,14,2024,114316,04040421,13,13110,8.0,3.0,5.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
18298,Consulta de Lactancia - Otras consultas de Lactancia Materna,5,14,2024,114316,09600287,13,13110,4.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
18299,Consulta de Lactancia por profesional  - Matrona/ón,5,14,2024,114316,04040424,13,13110,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
18300,Consulta de Lactancia por profesional  - Enfermera/o,5,14,2024,114316,04040425,13,13110,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
18301,Consulta de Lactancia por profesional  - Nutricionista ,5,14,2024,114316,04040426,13,13110,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
21912,Consulta de Lactancia - Consulta Lactancia Materna de alerta,8,11,2024,111370,04040420,13,13101,35.0,25.0,5.0,5.0,,,,0.0,1.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23273,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,8,11,2024,111370,04040421,13,13101,68.0,33.0,24.0,11.0,,,,2.0,1.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23274,Consulta de Lactancia - Otras consultas de Lactancia Materna,8,11,2024,111370,09600287,13,13101,5.0,0.0,5.0,0.0,,,,0.0,0.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23275,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,8,11,2024,111370,09600289,13,13101,4.0,2.0,1.0,1.0,,,,0.0,1.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23276,Consulta de Lactancia por profesional  - Matrona/ón,8,11,2024,111370,04040424,13,13101,3.0,3.0,,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23277,Consulta de Lactancia por profesional  - Enfermera/o,8,11,2024,111370,04040425,13,13101,1.0,,1.0,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23278,Consulta de Lactancia por profesional  - Nutricionista ,8,11,2024,111370,04040426,13,13101,108.0,57.0,34.0,17.0,,,0.0,2.0,3.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago
23531,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,11,2024,111376,04040420,13,13101,21.0,13.0,5.0,2.0,1.0,,,0.0,1.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago
23532,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,11,2024,111376,04040421,13,13101,40.0,15.0,19.0,5.0,1.0,,,0.0,1.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago
23533,Consulta de Lactancia - Otras consultas de Lactancia Materna,9,11,2024,111376,09600287,13,13101,5.0,1.0,4.0,,,,,0.0,4.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago
23534,Consulta de Lactancia por profesional  - Matrona/ón,9,11,2024,111376,04040424,13,13101,1.0,1.0,,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago
23535,Consulta de Lactancia por profesional  - Nutricionista ,9,11,2024,111376,04040426,13,13101,76.0,31.0,30.0,9.0,4.0,2.0,0.0,0.0,6.0,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago
24060,Consulta de Lactancia por profesional  - Matrona/ón,12,12,2024,112317,04040424,13,13113,2.0,2.0,,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Ossandon,La Reina
27591,Consulta de Lactancia por profesional  - Matrona/ón,10,12,2024,112317,04040424,13,13113,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Ossandon,La Reina
35317,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,2,13,2024,113324,04040421,13,13105,71.0,35.0,24.0,6.0,6.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
35318,Consulta de Lactancia por profesional  - Nutricionista ,2,13,2024,113324,04040426,13,13105,71.0,35.0,24.0,6.0,6.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
52916,Consulta de Lactancia - Consulta Lactancia Materna de alerta,12,14,2024,114316,04040420,13,13110,8.0,5.0,2.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
52917,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,12,14,2024,114316,04040421,13,13110,13.0,7.0,6.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
52918,Consulta de Lactancia - Otras consultas de Lactancia Materna,12,14,2024,114316,09600287,13,13110,22.0,14.0,8.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
52919,Consulta de Lactancia por profesional  - Matrona/ón,12,14,2024,114316,04040424,13,13110,16.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
52920,Consulta de Lactancia por profesional  - Enfermera/o,12,14,2024,114316,04040425,13,13110,19.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
54232,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,10,9,2024,109302,04040421,13,13104,3.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí
54233,Consulta de Lactancia - Otras consultas de Lactancia Materna,10,9,2024,109302,09600287,13,13104,8.0,1.0,1.0,4.0,2.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí
54234,Consulta de Lactancia por profesional  - Médico/a,10,9,2024,109302,04040423,13,13104,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí
54235,Consulta de Lactancia por profesional  - Enfermera/o,10,9,2024,109302,04040425,13,13104,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí
54236,Consulta de Lactancia por profesional  - Nutricionista ,10,9,2024,109302,04040426,13,13104,9.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí
54267,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,1,13,2024,200962,09600289,13,13105,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
54268,Consulta de Lactancia por profesional  - Nutricionista ,1,13,2024,200962,04040426,13,13105,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
54967,Consulta de Lactancia - Consulta Lactancia Materna de alerta,3,13,2024,113717,04040420,13,13105,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
54968,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,3,13,2024,113717,04040421,13,13105,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
54969,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,3,13,2024,113717,09600289,13,13105,5.0,1.0,4.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
54970,Consulta de Lactancia por profesional  - Nutricionista ,3,13,2024,113717,04040426,13,13105,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
55412,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,4,9,2024,200609,04040421,13,13104,1.0,1.0,,,,,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
55413,Consulta de Lactancia por profesional  - Enfermera/o,4,9,2024,200609,04040425,13,13104,1.0,1.0,,,,,0.0,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
56475,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,6,13,2024,113324,04040421,13,13105,56.0,16.0,25.0,3.0,11.0,1.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
56476,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,6,13,2024,113324,09600289,13,13105,3.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
56477,Consulta de Lactancia por profesional  - Nutricionista ,6,13,2024,113324,04040426,13,13105,59.0,17.0,27.0,3.0,11.0,1.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
59059,Consulta de Lactancia - Consulta Lactancia Materna de alerta,2,13,2024,200962,04040420,13,13105,3.0,0.0,2.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
59060,Consulta de Lactancia por profesional  - Nutricionista ,2,13,2024,200962,04040426,13,13105,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque
64858,Consulta de Lactancia - Consulta Lactancia Materna de alerta,5,13,2024,113717,04040420,13,13105,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
64859,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,13,2024,113717,04040421,13,13105,6.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
64860,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,5,13,2024,113717,09600289,13,13105,10.0,1.0,9.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
64861,Consulta de Lactancia por profesional  - Nutricionista ,5,13,2024,113717,04040426,13,13105,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque
66607,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,13,2024,113324,04040421,13,13105,42.0,11.0,25.0,6.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
66608,Consulta de Lactancia - Otras consultas de Lactancia Materna,5,13,2024,113324,09600287,13,13105,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
66609,Consulta de Lactancia por profesional  - Nutricionista ,5,13,2024,113324,04040426,13,13105,45.0,12.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
67383,Consulta de Lactancia - Consulta Lactancia Materna de alerta,5,14,2024,114331,04040420,13,13110,25.0,12.0,8.0,2.0,3.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67384,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,5,14,2024,114331,04040421,13,13110,7.0,2.0,3.0,0.0,2.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67385,Consulta de Lactancia - Otras consultas de Lactancia Materna,5,14,2024,114331,09600287,13,13110,7.0,2.0,1.0,3.0,1.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67386,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,5,14,2024,114331,09600289,13,13110,17.0,16.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67387,Consulta de Lactancia por profesional  - Matrona/ón,5,14,2024,114331,04040424,13,13110,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
67952,Consulta de Lactancia - Consulta Lactancia Materna de alerta,1,9,2024,200347,04040420,13,13104,5.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67953,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,1,9,2024,200347,04040421,13,13104,3.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67954,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,1,9,2024,200347,09600288,13,13104,2.0,,,,,,2.0,0.0,1.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
67955,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,1,9,2024,200347,09600289,13,13104,5.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
