,descripcion_prestacion,Mes,IdServicio,Ano,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
25533,Total de recién nacidos/as egresados/as,8,10,2024,110100,24200134,13,13101,151.0,7.0,101.0,64.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
31450,RN egresados con LME durante hospitalización y al alta,8,10,2024,110100,24300103,13,13101,100.0,,70.0,38.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
31451,RN egresados con madres serología positiva (VIH),8,10,2024,110100,29101770,13,13101,1.0,,1.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
31452,RN egresados con madres acogidas a Ley 21.155,8,10,2024,110100,29101772,13,13101,4.0,,1.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
31453,Egresados con lactancia materna exclusiva (código histórico),8,10,2024,110100,24200100,13,13101,130.0,7.0,88.0,55.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43748,Total de recién nacidos/as egresados/as,3,10,2024,110100,24200134,13,13101,189.0,39.0,6.0,59.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43749,RN egresados con LME durante hospitalización y al alta,3,10,2024,110100,24300103,13,13101,126.0,,0.0,43.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43750,RN egresados con madres serología positiva (VIH),3,10,2024,110100,29101770,13,13101,3.0,,1.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43751,RN egresados con madres acogidas a Ley 21.155,3,10,2024,110100,29101772,13,13101,3.0,,1.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
43752,Egresados con lactancia materna exclusiva (código histórico),3,10,2024,110100,24200100,13,13101,164.0,2.0,0.0,59.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
48176,Total de recién nacidos/as egresados/as,11,10,2024,110100,24200134,13,13101,126.0,8.0,16.0,41.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
48177,RN egresados con LME durante hospitalización y al alta,11,10,2024,110100,24300103,13,13101,73.0,,12.0,25.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
49062,RN egresados con madres serología positiva (VIH),11,10,2024,110100,29101770,13,13101,2.0,1.0,1.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
49063,RN egresados con madres acogidas a Ley 21.155,11,10,2024,110100,29101772,13,13101,11.0,,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
49064,Egresados con lactancia materna exclusiva (código histórico),11,10,2024,110100,24200100,13,13101,97.0,7.0,12.0,35.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
195157,Total de recién nacidos/as egresados/as,9,10,2024,110100,24200134,13,13101,119.0,3.0,6.0,43.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
195158,RN egresados con LME durante hospitalización y al alta,9,10,2024,110100,24300103,13,13101,77.0,,4.0,28.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
195159,RN egresados con madres serología positiva (VIH),9,10,2024,110100,29101770,13,13101,1.0,,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
200289,Total de recién nacidos/as egresados/as,10,10,2024,110100,24200134,13,13101,139.0,2.0,4.0,55.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
200290,RN egresados con LME durante hospitalización y al alta,10,10,2024,110100,24300103,13,13101,88.0,0.0,5.0,36.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
200291,RN egresados con madres serología positiva (VIH),10,10,2024,110100,29101770,13,13101,1.0,0.0,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207335,Total de recién nacidos/as egresados/as,4,10,2024,110100,24200134,13,13101,141.0,53.0,6.0,52.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207336,RN egresados con LME durante hospitalización y al alta,4,10,2024,110100,24300103,13,13101,79.0,,3.0,33.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207337,RN egresados con madres serología positiva (VIH),4,10,2024,110100,29101770,13,13101,1.0,,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207338,RN egresados con madres serología positiva (HTLV-1),4,10,2024,110100,29101771,13,13101,1.0,,0.0,0.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207339,RN egresados con madres acogidas a Ley 21.155,4,10,2024,110100,29101772,13,13101,3.0,,0.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
207340,Egresados con lactancia materna exclusiva (código histórico),4,10,2024,110100,24200100,13,13101,112.0,14.0,6.0,42.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
228697,Total de recién nacidos/as egresados/as,6,10,2024,110100,24200134,13,13101,160.0,6.0,6.0,52.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
228698,RN egresados con LME durante hospitalización y al alta,6,10,2024,110100,24300103,13,13101,100.0,,3.0,37.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
228699,RN egresados con madres acogidas a Ley 21.155,6,10,2024,110100,29101772,13,13101,3.0,,0.0,1.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
228700,Egresados con lactancia materna exclusiva (código histórico),6,10,2024,110100,24200100,13,13101,133.0,6.0,4.0,47.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
437572,RN egresados con madres acogidas a Ley 21.155,9,10,2024,110100,29101772,13,13101,2.0,,0.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
437573,Egresados con lactancia materna exclusiva (código histórico),9,10,2024,110100,24200100,13,13101,94.0,3.0,10.0,36.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
721224,RN egresados con madres acogidas a Ley 21.155,10,10,2024,110100,29101772,13,13101,5.0,0.0,0.0,2.0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
