,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación
0,2,14,114331,A0200002,13,13110,15,12,15,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,LACTANCIA MATERNA EXCLUSIVA
1,2,14,114331,A0200001,13,13110,33,23,21,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS
2,3,11,111370,A0200002,13,13101,14,23,12,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,LACTANCIA MATERNA EXCLUSIVA
3,3,13,113324,A0200002,13,13105,16,7,2,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA
4,3,13,113324,A0200001,13,13105,18,7,5,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS
5,5,13,113324,A0200002,13,13105,8,5,3,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA
6,5,13,113324,A0200001,13,13105,10,12,4,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS
7,3,11,111376,A0200002,13,13101,20,14,14,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,LACTANCIA MATERNA EXCLUSIVA
8,3,11,111376,A0200001,13,13101,30,34,37,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,MENORES CONTROLADOS
9,7,9,109302,A0200001,13,13104,13,19,22,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar Lucas Sierra,Conchalí,MENORES CONTROLADOS
10,3,14,114316,A0200001,13,13110,5,5,14,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,MENORES CONTROLADOS
11,3,11,111370,A0200001,13,13101,28,28,21,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Padre Orellana,Santiago,MENORES CONTROLADOS
12,7,11,111376,A0200002,13,13101,21,20,32,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,LACTANCIA MATERNA EXCLUSIVA
13,7,11,111376,A0200001,13,13101,33,25,50,Servicio de Salud Metropolitano Central,Centro de Salud Familiar Matta Sur,Santiago,MENORES CONTROLADOS
14,10,9,200609,A0200002,13,13104,1,1,4,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí,LACTANCIA MATERNA EXCLUSIVA
15,2,9,200347,A0200001,13,13104,2,2,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS
16,8,9,200347,A0200002,13,13104,1,3,1,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,LACTANCIA MATERNA EXCLUSIVA
17,8,9,200347,A0200001,13,13104,3,4,2,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí,MENORES CONTROLADOS
18,9,10,110310,A0200002,13,13126,12,19,11,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Andes,Quinta Normal,LACTANCIA MATERNA EXCLUSIVA
19,9,10,110310,A0200001,13,13126,17,28,20,Servicio de Salud Metropolitano Occidente,Centro de Salud Familiar Andes,Quinta Normal,MENORES CONTROLADOS
20,3,14,114316,A0200002,13,13110,3,2,8,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida,LACTANCIA MATERNA EXCLUSIVA
21,7,14,114331,A0200001,13,13110,26,27,30,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida,MENORES CONTROLADOS
