,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,TOTAL,De 0 a 29 días,De 1 mes a 2 meses 29 días,De 3 meses a 5 meses 29 días,De 6 meses a 11 meses 29 días,De 1 a 2 años,Gestantes,Pueblos Originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
0,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,114331,04040421,13,13110,10,4,2,4,0,0,,1,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
1,Consulta de Lactancia - Otras consultas de Lactancia Materna,14,114331,09600287,13,13110,16,5,4,5,2,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
2,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,14,114331,09600289,13,13110,10,10,0,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
3,Consulta de Lactancia - Consulta Lactancia Materna de alerta,14,114331,04040420,13,13110,5,4,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
4,Consulta de Lactancia - Consulta Lactancia Materna de alerta,14,114316,04040420,13,13110,2,1,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
5,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,114316,04040421,13,13110,30,17,6,7,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
6,Consulta de Lactancia - Otras consultas de Lactancia Materna,14,114316,09600287,13,13110,9,2,3,3,1,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
7,Consulta de Lactancia por profesional  - Médico/a,14,114316,04040423,13,13110,4,0,2,2,0,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
8,Consulta de Lactancia por profesional  - Enfermera/o,14,114316,04040425,13,13110,28,15,8,4,1,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
9,Consulta de Lactancia por profesional  - Nutricionista ,14,114316,04040426,13,13110,9,5,0,4,0,0,0,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar Dr. Fernando Maffioletti,La Florida
10,Consulta de Lactancia - Otras consultas de Lactancia Materna,13,113324,09600287,13,13105,1,0,0,0,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
11,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,2,0,0,2,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
12,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,73,46,11,14,2,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
13,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113324,04040421,13,13105,53,25,22,4,2,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
14,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,1,0,1,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
15,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,54,25,23,4,2,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
16,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,200347,04040420,13,13104,2,1,1,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
17,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,200347,04040421,13,13104,2,0,2,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
18,Consulta de Lactancia por profesional  - Matrona/ón,9,200347,04040424,13,13104,1,1,0,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
19,Consulta de Lactancia por profesional  - Enfermera/o,9,200347,04040425,13,13104,1,,1,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
20,Consulta de Lactancia por profesional  - Nutricionista ,9,200347,04040426,13,13104,2,,2,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
21,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,200347,04040420,13,13104,4,1,1,2,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
22,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,200347,04040421,13,13104,1,0,1,0,0,0,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
23,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,200347,04040420,13,13104,2,1,,1,,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
24,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,9,200347,04040421,13,13104,3,0,1,1,1,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
25,Consejería de Lactancia - Consejería prenatal en Lactancia Materna,9,200347,09600288,13,13104,2,,,,,,2,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
26,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,9,200347,09600289,13,13104,3,3,,,,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
27,Consulta de Lactancia por profesional  - Matrona/ón,9,200347,04040424,13,13104,1,1,,,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
28,Consulta de Lactancia por profesional  - Nutricionista ,9,200347,04040426,13,13104,4,0,1,2,1,0,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Alberto Bachelet,Conchalí
29,Consulta de Lactancia por profesional  - Matrona/ón,12,112317,04040424,13,13113,1,1,0,0,0,0,0,0,0,Servicio de Salud Metropolitano Oriente,Centro de Salud Familiar Ossandon,La Reina
30,Consulta de Lactancia - Consulta Lactancia Materna de alerta,9,200609,04040420,13,13104,1,,,1,,,,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
31,Consulta de Lactancia por profesional  - Nutricionista ,9,200609,04040426,13,13104,1,,,1,,,0,0,0,Servicio de Salud Metropolitano Norte,Centro Comunitario de Salud Familiar Dr. Lucas Sierra,Conchalí
32,Consulta de Lactancia - Consulta Lactancia Materna de alerta,13,113324,04040420,13,13105,11,9,2,0,0,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
33,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,13,113324,04040421,13,13105,45,12,16,13,4,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
34,Consejería de Lactancia - Consejería posnatal en Lactancia Materna,13,113324,09600289,13,13105,4,1,2,0,1,0,,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
35,Consulta de Lactancia por profesional  - Nutricionista ,13,113324,04040426,13,13105,60,22,20,13,5,0,0,0,0,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque
36,Consulta de Lactancia - Consulta de Lactancia Materna de seguimiento,14,114331,04040421,13,13110,25,6,15,4,0,0,,0,0,Servicio de Salud Metropolitano Sur Oriente,Centro de Salud Familiar La Florida,La Florida
