,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna
0,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,,2,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
1,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,142,36,5,60,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
2,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,84,,3,33,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
3,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,25,6,0,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
4,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,7,22,2,6,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
5,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,3,5,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
6,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,2,1,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
7,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,6,,0,4,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
8,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,123,23,6,59,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
9,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,60,,2,32,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
10,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,33,1,1,12,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
11,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,14,20,3,10,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
12,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,2,,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
13,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,2,,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
14,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,12,,0,3,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
15,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,26,1,1,8,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
16,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,14,20,0,9,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
17,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,1,0,0,1,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
18,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,10,0,0,0,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
19,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,34,5,1,11,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
20,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,19,28,0,16,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
21,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,1,3,0,2,Servicio de Salud Metropolitano Occidente,"Hospital San Juan de Dios (Santiago, Santiago)",Santiago
