,Mes,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,1° mes,3° mes,6° mes,nombre_ss,nombre_establecimiento,nombre_comuna,Prestación,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
0,1,13,200962,A0200001,13,13105,0,4,2,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,MENORES CONTROLADOS,200962,13105,13
1,2,13,113329,A0200002,13,13105,4,7,5,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Canciller Orlando Letelier,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113329,13105,13
2,1,13,113329,A0200001,13,13105,11,11,9,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Canciller Orlando Letelier,El Bosque,MENORES CONTROLADOS,113329,13105,13
3,1,13,113329,A0200002,13,13105,5,5,7,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Canciller Orlando Letelier,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113329,13105,13
4,4,13,200962,A0200002,13,13105,1,1,2,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,LACTANCIA MATERNA EXCLUSIVA,200962,13105,13
5,4,13,200962,A0200001,13,13105,1,2,3,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,MENORES CONTROLADOS,200962,13105,13
6,3,13,200962,A0200002,13,13105,3,0,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,LACTANCIA MATERNA EXCLUSIVA,200962,13105,13
7,3,13,200962,A0200001,13,13105,3,0,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,MENORES CONTROLADOS,200962,13105,13
8,5,13,113717,A0200002,13,13105,2,2,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113717,13105,13
9,5,13,113717,A0200001,13,13105,3,2,3,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,MENORES CONTROLADOS,113717,13105,13
10,5,13,200962,A0200002,13,13105,2,2,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,LACTANCIA MATERNA EXCLUSIVA,200962,13105,13
11,5,13,200962,A0200001,13,13105,2,2,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,MENORES CONTROLADOS,200962,13105,13
12,4,13,113717,A0200002,13,13105,0,0,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113717,13105,13
13,4,13,113717,A0200001,13,13105,1,1,2,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,MENORES CONTROLADOS,113717,13105,13
14,1,13,200962,A0200002,13,13105,0,1,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,LACTANCIA MATERNA EXCLUSIVA,200962,13105,13
15,2,13,113717,A0200002,13,13105,1,,,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113717,13105,13
16,2,13,113717,A0200001,13,13105,1,2,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,MENORES CONTROLADOS,113717,13105,13
17,1,13,113717,A0200002,13,13105,1,,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113717,13105,13
18,1,13,113717,A0200001,13,13105,2,2,2,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,MENORES CONTROLADOS,113717,13105,13
19,2,13,200962,A0200002,13,13105,0,0,0,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Los Sauces,El Bosque,LACTANCIA MATERNA EXCLUSIVA,200962,13105,13
20,5,13,113324,A0200002,13,13105,7,8,3,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113324,13105,13
21,5,13,113324,A0200001,13,13105,10,22,7,Servicio de Salud Metropolitano Sur,Centro de Salud Familiar Dra. Haydeé López Casoou,El Bosque,MENORES CONTROLADOS,113324,13105,13
22,3,13,113717,A0200002,13,13105,2,1,1,Servicio de Salud Metropolitano Sur,Centro Comunitario de Salud Familiar Santa Laura,El Bosque,LACTANCIA MATERNA EXCLUSIVA,113717,13105,13
