,descripcion_prestacion,IdServicio,IdEstablecimiento,CodigoPrestacion,IdRegion,IdComuna,Maternidad,Neonatología,Pueblos originarios,Migrantes,nombre_ss,nombre_establecimiento,nombre_comuna,codigo_deis_establecimiento,codigo_deis_comuna,codigo_deis_servicio
0,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,24,3,5,13,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
1,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,13,27,31,9,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
2,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,173,36,14,77,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
3,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,73,,5,28,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
4,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,28,8,0,15,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
5,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,42,24,8,24,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
6,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,1,1,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
7,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,28,,1,11,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
8,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,1,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
9,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,146,35,7,62,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
10,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,82,0,2,28,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
11,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,26,2,0,15,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
12,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,30,33,5,19,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
13,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,1,0,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
14,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,7,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
15,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,18,0,0,6,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
16,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,3,0,0,1,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
17,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,0,3,0,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
18,RN egresados solo fórmula láctea (excepto VIH/HTLV-1/Ley 21.155/protección),10,110100,24311027,13,13101,0,3,3,1,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
19,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,157,36,20,81,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
20,Total de recién nacidos/as egresados/as,11,111101,24200134,13,13119,172,47,16,36,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
21,RN egresados con LME durante hospitalización y al alta,11,111101,24300103,13,13119,122,,13,34,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
22,RN egresados que recuperaron LME al alta,11,111101,24311025,13,13119,22,11,2,2,Servicio de Salud Metropolitano Central,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Maipú,111101,13119,11
23,RN egresados con madres serología positiva (VIH),10,110100,29101770,13,13101,3,0,0,2,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
24,RN egresados con madres acogidas a Ley 21.155,10,110100,29101772,13,13101,9,0,0,6,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
25,RN egresados solo fórmula por protección o madre grave,10,110100,24311028,13,13101,0,2,2,0,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
26,Total de recién nacidos/as egresados/as,10,110100,24200134,13,13101,145,32,7,66,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
27,RN egresados con LME durante hospitalización y al alta,10,110100,24300103,13,13101,80,0,3,33,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
28,RN egresados que recuperaron LME al alta,10,110100,24311025,13,13101,20,2,2,9,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
29,RN egresados con lactancia mixta al alta,10,110100,24311026,13,13101,32,25,1,21,Servicio de Salud Metropolitano Occidente,Hospital San Juan de Dios (Santiago),Santiago,110100,13101,10
